Title;Description;Tools;Specialization
Smart Inventory Management System for Retail Stores;This system enables small retail stores to track real-time stock levels and sales through an integrated web dashboard. The backend handles product catalog management and sales analytics, while the frontend provides an intuitive interface for inventory updates and alerts when stock runs low. An IoT component manages automated shelf sensors to update stock status without manual input.;React, Node.js, Express, MongoDB, Raspberry Pi, MQTT, Docker;Frontend Development, Backend Development, IoT, Cloud Computing
Smart Fleet Maintenance Tracker;This system enables fleet managers to monitor vehicle maintenance schedules and predict part replacements using sensor data analysis. The frontend displays real-time status dashboards and alerts, while the backend processes IoT data feeds from onboard vehicle diagnostics and manages maintenance records. The platform facilitates upkeep planning and reduces downtime for logistics companies.;React, Node.js, MongoDB, Express.js, MQTT, Docker;Frontend Development, Backend Development, IoT Integration, Cloud Computing
CropSense: Precision Agriculture Monitoring System;A web platform integrating real-time IoT sensor data from soil moisture and ambient conditions to optimize irrigation schedules for farmers. The backend processes sensor inputs and generates actionable notifications, while the frontend visualizes field metrics and historic trends. Embedded microcontrollers collect data and transmit via MQTT protocol for seamless updates.;React, Node.js, Express, MongoDB, ESP32 microcontroller, MQTT, Chart.js;Frontend Development, Backend Development, IoT, Embedded Systems
ParcelTrack Pro;A web platform for logistics companies to manage parcel deliveries in real-time, integrating GPS tracking devices installed on delivery vans to monitor location and route efficiency. The system features a React dashboard showing live vehicle stats, backend APIs in Node.js with PostgreSQL for route and shipment management, and MQTT protocol to collect IoT data from the embedded GPS hardware.;React, Node.js, PostgreSQL, MQTT, GPS Embedded Devices, Docker;Frontend Development, Backend Development, IoT, Embedded Systems
Campus Road Traffic Monitoring and Alert System;A web platform that collects real-time traffic data from IoT sensors installed on campus roads, processing the data on a Node.js backend to provide live traffic conditions and generate alerts for congestion or accidents. The frontend built with React allows users to view traffic heatmaps, receive push notifications, and submit incident reports, optimizing campus transportation safety and flow.;React, Node.js, Express.js, MongoDB, MQTT, ESP32, Google Firebase Cloud Messaging;Frontend Development, Backend Development, Internet of Things (IoT), Cloud Computing
GreenField Urban Farming Supply Chain Tracker;A web platform designed to monitor and trace the entire supply chain of urban farm produce, providing real-time farm sensor data integration and delivery logistics tracking. Farmers input cultivation details and IoT sensor readings, while distributors update shipment status, ensuring supply transparency from seed to store. The backend processes IoT data streams and supports RESTful APIs for mobile frontend consumption.;React.js, Node.js with Express, MongoDB, MQTT protocol for IoT integration, Docker containerization;Frontend and Backend Development with IoT Integration
GreenRoute: Smart Delivery Fleet Management System;GreenRoute optimizes urban delivery logistics by tracking vehicle locations and environmental conditions in real time to minimize fuel consumption and route congestion. The system integrates a React frontend with a Node.js backend and leverages IoT sensors on vehicles to monitor emissions and engine status. Dispatchers plan deliveries through an interactive dashboard that adjusts routes based on live traffic data and sensor feedback.;React, Node.js, Express, MQTT, PostgreSQL, Mapbox API, Raspberry Pi (IoT sensors);Frontend Development, Backend Development, IoT Integration
AgriSense: Smart Crop Monitoring Dashboard;AgriSense is a web-based platform that collects real-time environmental data from sensor-enabled IoT devices deployed in agricultural fields to monitor soil moisture, humidity, and temperature. The backend ingests MQTT messages from the devices, stores time-series data in a NoSQL database, and provides analytics APIs. The frontend visualizes sensor data, alerts farmers on threshold breaches, and recommends irrigation schedules based on current conditions.;React, Node.js, Express, MongoDB, MQTT, Raspberry Pi sensors, Chart.js;Frontend Development, Backend Development, IoT
SmartFarm Crop Monitoring System;An integrated web platform that collects real-time environmental data from IoT sensor nodes deployed in crop fields, allowing farmers to monitor soil moisture, temperature, and light conditions remotely. The backend processes sensor inputs to provide threshold-based alerts and visualize trends, while the frontend dashboard offers interactive charts and control interfaces for irrigation scheduling.;React, Node.js, Express, MongoDB, MQTT, Raspberry Pi, DHT22 Sensors, Chart.js;Frontend Development, Backend Development, IoT
Smart Waste Collection Management System;This system enables municipal authorities to monitor and optimize waste collection routes using data from IoT-enabled smart trash bins. The frontend provides a dashboard for real-time bin status and route planning, while the backend processes sensor data to predict fill-level trends and schedule pickups efficiently.;React, Node.js, Express, MongoDB, MQTT, Arduino, AWS IoT Core;Frontend and Backend Development with IoT Integration
Smart Inventory Management System for Organic Farms;This system allows farm managers to monitor stock levels of seeds, fertilizers, and equipment using RFID tagging and a web dashboard. The backend provides real-time updates and reorder alerts based on predefined thresholds. The frontend offers interactive reporting and inventory audits accessible on desktop and mobile devices.;"Frontend: React, Tailwind CSS; Backend: Node.js, Express; Database: PostgreSQL; IoT: RFID readers with Arduino integration";Frontend Development, Backend Development, IoT Integration
Smart Inventory Management System for Small Pharmacies;Develop a web-based platform enabling pharmacists to track stock levels, expiration dates, and supplier orders in real-time. The backend manages transaction history and generates automatic reorder alerts based on configurable minimum thresholds. The frontend provides an intuitive dashboard with barcode scanning support and historical usage charts.;React.js, Node.js with Express, MongoDB, Firebase Cloud Messaging, ZXing (barcode scanning library);Full Stack Web Development
Smart Vineyard Monitoring and Irrigation System;This project implements a real-time vineyard field monitoring platform that collects soil moisture, temperature, and humidity data via LoRa-enabled sensors. The backend processes data to trigger adaptive irrigation schedules, optimizing water usage and preventing plant stress. The frontend visualizes sensor readings and irrigation status, allowing viticulturists to manage resources remotely through customized alert settings.;React, Node.js, Express, MongoDB, LoRaWAN modules, Docker;Frontend Development, Backend Development, IoT
Smart Waste Management System;This system monitors waste bin fill levels using embedded ultrasonic sensors and transmits data via MQTT to a backend server which schedules optimized collection routes. The frontend dashboard provides real-time visualization of bin statuses, analytics on waste patterns, and alert management for municipal operators.;React, Node.js, Express, MongoDB, Raspberry Pi, Ultrasonic Sensors, MQTT;Frontend Development, Backend Development, Embedded Systems, IoT
FarmPulse: IoT-Enabled Crop Monitoring and Alert System;FarmPulse is a web application that visualizes real-time soil moisture, temperature, and humidity from field-deployed sensors. The backend collects sensor data via MQTT, stores it in a time-series database, and triggers irrigation alerts when thresholds are breached. The frontend dashboard provides farmers with live status, historical trends, and device management controls.;React, Node.js, Express, MongoDB, MQTT, ESP32 microcontrollers, Docker;Frontend Development, Backend Development, IoT
Smart Aquaponics Farm Management System;This system integrates sensor data collection from IoT devices monitoring water quality and crop health in an aquaponics setup. The backend processes real-time telemetry to automate alerts and actuate pumps or feeders, while the frontend provides visualization dashboards and manual control interfaces for farm operators. User roles include farmers and agronomists who manage ecosystem balance and optimize yield through system notifications and detailed analytics.;React.js, Node.js with Express, MongoDB, Python for embedded data aggregation, MQTT for IoT communications, Raspberry Pi devices with sensors;Frontend Development, Backend Development, IoT
GreenFleet Monitoring and Route Optimization System;A web application that collects live GPS and environmental data from city buses to optimize routes enforcing emission reduction targets. The backend processes real-time telemetry over MQTT, analyzes vehicle emissions against route data, and provides actionable dashboard insights for fleet managers. Frontend offers interactive map visualization and dynamic route adjustment controls.;React, Node.js, Express, PostgreSQL, Mosquitto MQTT Broker, Mapbox GL, Docker;Frontend Development, Backend Development, IoT
Precision Irrigation Management System;This system enables farmers to monitor soil moisture and control irrigation remotely via a web app connected to embedded soil sensors. The backend processes real-time sensor data and schedules irrigation cycles to optimize water usage based on plant needs. The frontend displays sensor analytics and allows manual override of irrigation timing.;React, Node.js, Express, PostgreSQL, MQTT, Arduino, Soil Moisture Sensors;Frontend and Backend Development with Embedded Systems Integration
MedInventory Tracker;A web-based system allowing hospital staff to monitor and manage medical supply stock levels in real-time. The platform integrates barcode scanning via IoT-enabled devices to update inventory automatically and triggers alerts for low-stock items. User roles differentiate between pharmacists, nurses, and administrators with tailored access and reporting features.;React, Node.js, Express, MongoDB, MQTT, Raspberry Pi (for barcode IoT integration), JWT authentication;Frontend Development, Backend Development, Internet of Things
Smart Inventory Management for Urban Farmers;The system provides a web portal to monitor and manage crop stock levels and sales data for local urban farms. It integrates real-time RFID tracking to automate inventory updates and offers supply forecasting based on historical data. The backend exposes REST APIs for frontend dashboards and mobile alerts.;"Frontend: React, Redux; Backend: Node.js, Express, MongoDB; IoT: RFID sensors; Deployment: Docker, AWS EC2";Frontend & Backend Development with IoT Integration
Smart Parking Management System for Urban Areas;This system enables real-time monitoring and reservation of parking slots through a web interface. The backend handles slot availability using data from embedded IoT sensors, while the frontend provides interactive maps and booking feedback to drivers. It dynamically updates slot status and optimizes space utilization in congested city zones.;React, Node.js, Express, MongoDB, MQTT, Arduino, Raspberry Pi;Frontend and Backend Development with IoT Integration
FleetGuard: Real-Time Commercial Vehicle Health Monitoring;FleetGuard collects real-time diagnostic data from commercial vehicles through onboard OBD-II devices, transmitting information via MQTT to a backend that analyzes engine performance and detects anomalies. The web dashboard offers fleet managers live vehicle statuses, maintenance scheduling, and alert notifications. Frontend uses React with real-time WebSocket updates, while backend employs Node.js with PostgreSQL for data storage and Python scripts for diagnostics logic.;React, Node.js, Python, PostgreSQL, MQTT, WebSocket, Docker;Frontend Development, Backend Development, IoT
FarmSense: Smart Irrigation Management System;FarmSense integrates soil moisture sensors with a web dashboard that helps farmers optimize irrigation schedules. The frontend dashboard is built with React for real-time data visualization, while the backend employs Node.js and Express to process sensor data and control water pumps via MQTT. This system reduces water waste by automating irrigation based on actual soil conditions.;React, Node.js, Express, MQTT, MongoDB, Arduino Uno, Soil Moisture Sensors;Frontend Development, Backend Development, IoT Embedded Systems
Smart Supply Chain Tracker;A web platform that allows manufacturers and distributors to monitor shipment status in real time through IoT-enabled GPS devices attached to cargo containers. The system backend processes location data streams and forecasts estimated delivery times using time-series analysis. Frontend displays interactive route maps, alerts on delays, and inventory handover records for multiple user roles.;React, Node.js, Express, PostgreSQL, MQTT, Redis, Docker, Azure IoT Hub;Full-Stack Development with IoT Integration and Cloud Services
SmartWaste Bin Management System;Developed a sensor-integrated waste bin monitoring platform that collects fill-level data in real-time and alerts municipal services when bins require emptying. The web dashboard visualizes bin statuses across the city, optimizing collection routes and schedules based on occupancy trends.;React.js, Node.js, MongoDB, Express.js, ESP32 microcontroller, Ultrasonic sensors, MQTT protocol;Frontend and Backend Development with Embedded Systems and IoT Integration
FleetPulse: Real-Time Logistic Fleet Management System;FleetPulse provides transport companies with a web platform to monitor vehicle locations, status, and delivery schedules. The backend processes GPS data and alerts delays via notification queues while the frontend displays interactive maps and performance dashboards for dispatchers.;React, Node.js, Express, PostgreSQL, Socket.IO, Mapbox API;Full Stack Web Development
SmartCrop Monitoring and Irrigation System;This system collects real-time soil moisture and temperature data using IoT sensors deployed in agricultural fields. The backend analyzes data to automate irrigation schedules via a REST API, while the frontend provides farmers with live dashboards and manual control options. Alerts for critical conditions are generated and sent through SMS integration.;React.js, Node.js, Express, MongoDB, Arduino UNO, Soil Moisture and Temperature Sensors, Twilio API;Frontend Development, Backend Development, IoT, Embedded Systems, Cloud Integration
Clinic Scheduler and Teleconsultation Platform;Develop a full-stack application allowing patients to book and manage appointments with healthcare providers. The system integrates video calls for remote consultations using WebRTC and securely handles patient records with role-based access control. Backend services expose RESTful APIs using Node.js and store data in a PostgreSQL database.;React, Node.js, Express, PostgreSQL, WebRTC, JWT, Docker;Fullstack Web Development with Real-time Communication and Security
FleetGuard: Real-Time Vehicle Maintenance and Tracking System;FleetGuard integrates a web-based dashboard with backend services to monitor vehicle health and location for logistics companies. Frontend clients visualize real-time telemetry sent from embedded IoT devices installed in trucks, while the backend processes sensor data to predict maintenance needs and alert operators. The system enables scheduling repairs and analyzing route efficiency through historical data stored in a cloud database.;React, Node.js, MQTT, PostgreSQL, Docker, AWS IoT Core, Embedded C;Frontend Development, Backend Development, IoT, Embedded Systems, Cloud Computing
FleetTrack: Real-Time Fleet Management System;FleetTrack provides logistics companies with live tracking and route optimization for commercial vehicles using GPS and map APIs. The platform's frontend dashboard displays vehicle locations, status updates, and alerts, while its backend processes telemetry data and computes efficient routes based on traffic patterns. Drivers can receive instructions and report incidents through a mobile-responsive interface, improving operational control and reducing fuel consumption.;"Frontend: React, Leaflet.js; Backend: Node.js, Express, PostgreSQL; APIs: Mapbox, OpenStreetMap; Deployment: AWS EC2";Frontend and Backend Development with Cloud Deployment
Smart Fleet Maintenance Tracker;Develop a web application that connects to embedded OBD-II devices installed in commercial vehicles to monitor real-time engine diagnostics and predict maintenance needs. The backend processes streamed sensor data to trigger alerts and schedule service tasks, while the frontend provides fleet managers with overview dashboards and maintenance history. The system integrates Azure cloud functions for scalable data processing and uses MQTT protocol for IoT communication.;React, Node.js (Express), PostgreSQL, MQTT, Azure Functions, C (embedded), Docker;Frontend Development, Backend Development, IoT, Cloud Computing, Embedded Systems
SafeRoute: IoT-Enabled Hazard Detection for Urban Cyclists;SafeRoute integrates real-time sensor data from IoT devices mounted on bicycles to detect road hazards such as potholes or slippery surfaces. The frontend provides an interactive map visualizing safe and unsafe paths based on aggregated data, while the backend handles sensor data aggregation, alert management, and user routing. The system enables urban cyclists to plan safer routes and receive instant hazard notifications.;React.js, Node.js, Express, MongoDB, MQTT, Arduino, ESP32, Mapbox API;Frontend Development, Backend Development, IoT Embedded Systems
SmartWaste Tracker;A web-based platform for municipal waste management that tracks bin fill levels via IoT sensors and optimizes collection routes accordingly. The frontend visualizes real-time data and route plans for city workers, while the backend aggregates sensor inputs and runs scheduling algorithms. The system integrates MQTT-based communication with embedded Arduino devices in trash bins.;React, Node.js, Express, MongoDB, MQTT, Arduino, Raspberry Pi;Frontend Development, Backend Development, IoT, Embedded Systems
Smart Irrigation Control System;A web-based platform that enables farmers to monitor soil moisture data from Arduino-mounted sensors and schedule irrigation accordingly. The backend manages sensor data and adjusts watering cycles, while the frontend provides real-time status and history charts. Integration with AWS IoT Core facilitates secure communication between devices and cloud services.;React, Node.js, Express, MongoDB, Arduino, AWS IoT Core;Frontend Development, Backend Development, IoT, Cloud Computing
FleetTrack: Real-Time Vehicle Maintenance and Monitoring System;FleetTrack is a web application providing logistics companies with real-time tracking, predictive maintenance alerts, and fuel consumption analysis for fleet vehicles. The frontend dashboard visualizes vehicle status and location using Mapbox, while the backend aggregates IoT sensor data transmitted via MQTT from embedded telematics devices. Historical data is stored in PostgreSQL to support maintenance scheduling and reporting.;React, Node.js, Express, MQTT, PostgreSQL, Mapbox GL JS, Docker;Frontend Development, Backend Development, IoT Integration
FleetWatch: Real-Time Vehicle Maintenance and Tracking System;FleetWatch provides logistics companies with real-time tracking and predictive maintenance scheduling for their delivery trucks. The frontend dashboard shows live GPS data and sensor diagnostics, while the backend processes IoT data streams to forecast component failures and optimize routes. The system integrates with embedded OBD-II devices installed in vehicles for direct mechanical health monitoring.;React, Express.js, PostgreSQL, MQTT broker, Node.js, Docker, PostgreSQL TimescaleDB, OBD-II embedded devices;Frontend Development, Backend Development, IoT, Embedded Systems, Cloud Computing
Fleet Maintenance Scheduling and Monitoring System;This application enables fleet managers to schedule predictive maintenance tasks and monitor real-time vehicle diagnostics via an IoT-enabled backend. The system collects sensor data from embedded OBD-II devices on vehicles and processes it to generate maintenance alerts and optimize service intervals. Frontend dashboards provide an interactive interface for task assignment and status tracking, enhancing operational uptime.;React, Node.js, Express, PostgreSQL, MQTT, Raspberry Pi with OBD-II sensors, Docker;Frontend Development, Backend Development, Embedded Systems, IoT
SmartParking Management System;This web-based platform enables real-time tracking and reservation of parking spaces at urban facilities. The backend manages space availability using sensor data ingested via MQTT, while the frontend offers dynamic maps and booking interfaces. Payment processing and admin analytics dashboards are also integrated to optimize lot utilization.;React, Node.js, Express, MongoDB, MQTT, Docker, Stripe API;Frontend Development, Backend Development, IoT Integration, Cloud Computing
SmartCrop Monitor;A precision agriculture platform that collects soil moisture and temperature data using IoT sensors, enabling farmers to monitor crop conditions via a web dashboard. The backend processes real-time data streams to trigger irrigation alerts and historical trend analytics. The frontend provides interactive maps and customizable threshold settings for field zones.;React, Node.js, Express, MongoDB, MQTT, Arduino, DHT22 sensors, Docker;Frontend Development, Backend Development, IoT
Smart Parking Management System;Develop a web application that allows users to locate and reserve parking spots in real-time via a front-end React interface. The backend, built with Node.js and MongoDB, handles dynamic availability updates and reservation logic. The system integrates with embedded ultrasonic sensors to detect spot occupancy and relays data using MQTT protocol for instant notifications.;React, Node.js, Express, MongoDB, MQTT, Arduino Ultrasonic Sensors;Frontend Development, Backend Development, Embedded Systems, IoT
FarmGrid: IoT-Based Precision Irrigation Management System;FarmGrid integrates soil moisture sensors connected via LoRaWAN to a backend that analyzes real-time data and schedules irrigation accordingly. The frontend dashboard provides farmers with precise control and visualization tools for water usage over their plots, optimizing agricultural efficiency. Alerts and historical data analytics help anticipate crop water needs and detect irrigation anomalies.;React, Node.js, Express, MongoDB, LoRaWAN modules, MQTT broker, Docker;Frontend Development, Backend Development, IoT Systems
FleetMaster: Real-time Fleet Tracking and Maintenance Scheduler;FleetMaster is a web application designed for logistics companies to monitor vehicle locations via GPS and schedule predictive maintenance based on usage data. The frontend offers live map tracking with interactive vehicle status, while the backend processes telematics data and triggers maintenance alerts based on mileage thresholds and sensor inputs. A REST API communicates between frontend and backend, ensuring low-latency updates for fleet dispatchers.;React, Node.js, Express, MongoDB, Socket.IO, Google Maps API, PostgreSQL;Frontend Development, Backend Development, IoT Telemetry Integration
Precision Greenhouse Monitoring and Control System;This system enables real-time monitoring and automated climate control inside a commercial greenhouse. It collects data from IoT sensors for temperature, humidity, and soil moisture, which the backend processes to adjust actuators like vents and irrigation. Growers can access live dashboards and control settings via a responsive web app, optimizing plant growth conditions remotely.;React, Node.js, Express, MongoDB, MQTT, Raspberry Pi, DHT22 and Soil Moisture Sensors, Docker;Frontend Development, Backend Development, IoT
SmartInventory: IoT-Enabled Inventory Management for Cold Storage;An integrated system that monitors temperature and humidity in cold storage using IoT sensors, allowing warehouse staff to view real-time environmental data and inventory status via a web dashboard. The backend handles sensor data ingestion, thresholds alerts for spoilage risk, and maintains product tracking with batch and expiry details.;React, Node.js, Express, MongoDB, MQTT, Raspberry Pi, DHT22 Sensor;Frontend and Backend Development, Internet of Things
FarmTrack: IoT-Enabled Crop Monitoring and Management System;FarmTrack integrates sensor data from soil moisture, temperature, and humidity devices to provide real-time analytics through a web dashboard. Backend aggregates IoT data using MQTT brokers and offers farm-level insights to optimize irrigation scheduling and fertilizer application.;React, Node.js, Express, MongoDB, MQTT, Raspberry Pi, DHT22 sensors, AWS EC2;Frontend Development, Backend Development, IoT
Smart Inventory Management System for Warehouse Operations;A web application that tracks inventory levels in real-time using barcode scanning and integrates with RFID readers for automatic stock updates. Frontend enables warehouse staff to monitor stock, generate shipment reports, and receive restock alerts, while backend manages database synchronization and user authentication. The system incorporates role-based access control for secure multi-user management.;React, Node.js, Express, MongoDB, Socket.IO, RFID Integration SDK, JWT;Frontend Development, Backend Development, IoT Integration, Cybersecurity
Smart Inventory Control for Urban Vertical Farms;This system enables real-time monitoring and automated restocking alerts for hydroponic crop inventories across multiple vertical farm sites. The frontend displays current stock levels and crop status, while the backend handles data aggregation and threshold-based notifications. Integration with IoT sensors allows tracking nutrient solution levels and temperature impacting inventory turnover.;React, Node.js (Express), MongoDB, MQTT, Raspberry Pi sensors;Fullstack Development with IoT integration
SmartWaste Management Platform;A web-based application that monitors waste container levels in real-time using IoT sensor data and optimizes collection routes for municipal workers. The frontend provides live status dashboards and route adjustments, while the backend processes incoming sensor data and applies route optimization algorithms. It supports notifications for overflow alerts to reduce operational costs and improve service efficiency.;React.js, Node.js, Express, MongoDB, MQTT, Docker, Mapbox API;Frontend Development, Backend Development, IoT Integration, Cloud Computing
SmartAquaponics Monitoring and Automation Platform;This system provides real-time monitoring and automated control for aquaponics farms by integrating sensor data to manage water quality parameters like pH, temperature, and nutrient levels. Users can remotely adjust environmental controls and receive anomaly alerts via the web interface. The backend processes sensor data streams and orchestrates actuator commands to optimize plant and fish health.;React, Node.js, Express, MongoDB, MQTT, AWS IoT Core, Docker;Frontend and Backend Development with IoT Integration
GreenFleet: Smart Fleet Management for Electric Vehicles;An integrated platform enabling logistics companies to monitor and optimize their electric vehicle fleet performance. The system tracks vehicle telemetry via embedded IoT sensors and provides route optimization and maintenance alerts through a responsive web dashboard. Backend services aggregate sensor data, predict battery health, and schedule charging to improve operational efficiency.;React, Node.js, PostgreSQL, Express, MQTT, Raspberry Pi, Docker, Grafana;Frontend Development, Backend Development, IoT Embedded Systems, Cloud Computing
SmartGreenhouse Control and Monitoring System;This project develops a web application for remote monitoring and automated control of greenhouse environmental conditions. It integrates sensor data collected via Arduino-based embedded devices and feeds it to a Node.js backend, enabling real-time visualization and actuator management through a React frontend. Alerts and system logs help maintain optimal growth parameters and detect hardware anomalies.;React, Node.js, Express, MongoDB, Arduino, MQTT, Docker;Frontend Development, Backend Development, Embedded Systems, IoT
Smart Inventory Control for Artisan Bakeries;This web-based platform enables bakery owners to track ingredient stock levels in real-time, predict consumption patterns using time-series data, and automate reorder notifications. It supports multi-location inventory management with role-based access and integrates temperature sensor data via MQTT for monitoring storage conditions. The backend uses Node.js with Express for REST API implementation, and the frontend is built with React and Redux to manage complex state across components.;Node.js, Express, React, Redux, MongoDB, MQTT, Docker;Full-Stack Development with IoT Integration
GreenTrack: Urban Tree Health Monitoring System;GreenTrack provides city arborists with a web platform to monitor the health status of urban trees using sensor data. The system aggregates soil moisture, ambient temperature, and air quality from IoT-enabled sensors installed on street trees, displaying alerts for maintenance needs. Frontend visualizes geospatial data and trends, while the backend manages sensor integration, data storage, and real-time analytics.;React, Node.js, Express, MongoDB, MQTT, Raspberry Pi with environmental sensors;Frontend Development, Backend Development, IoT
Smart AgriSense: IoT-based Crop Monitoring and Alert System;Smart AgriSense integrates sensor data from soil moisture, temperature, and humidity to provide real-time crop health monitoring. The system enables farmers to remotely track field conditions via a web dashboard and receive automated irrigation and fertilization alerts. Backend APIs aggregate IoT device telemetry, while the frontend visualizes trends and warnings dynamically.;React, Node.js, Express, MongoDB, MQTT, Raspberry Pi with soil and environmental sensors, Docker;Frontend Development, Backend Development, IoT
