Project Code;Title;Description;Specialization;Tools;Doctor;TA;Year;Future Work;Status
cs 20;Autoimmune Disease Diagnosis App;A mobile healthcare application that utilizes machine learning to help users identify potential autoimmune diseases through symptom analysis, questionnaires, and intelligent prediction models.;Healthcare / AI / Mobile;"Machine Learning; Mobile App; Data Analysis";Unknown;Unknown;2023/2024;Improve diagnosis accuracy and integrate clinical datasets;finished
cs 21;Draw a Network;An AI-powered system that converts uploaded floor plans and images into structured network diagrams using YOLOv8 image analysis and automated diagram generation.;AI / Networking / Computer Vision;"YOLOv8; Python; Image Processing; Web Application";Unknown;Unknown;2023/2024;Enhance automated device mapping and chatbot assistance;finished
cs 22;SMARTEATS;A nutrition management mobile application that helps users track dietary intake, analyze nutrition data, and receive AI-powered meal recommendations and planning assistance.;Healthcare / Nutrition / AI;"Android Studio; Firebase; Anaconda; Kotlin; Java; Python";Dr. Lamiaa Hassan;Eng. Doha Gomaa;2023/2024;Integrate fitness tracking and advanced wellness analytics;finished
cs 23;Be Safe;A healthcare management system designed for individuals with mental disabilities, integrating medical record management, emergency response, QR code generation, and caregiver communication.;Healthcare / Emergency Systems;"JavaScript; SQL Server; Web Technologies";Dr. Nora Niazy;Eng. Noha Ayman;2023/2024;Expand emergency monitoring and caregiver coordination;finished
cs 24;Solar Power Management System;A smart solar energy management platform that improves energy production, storage, and distribution using embedded systems and intelligent monitoring techniques.;Embedded Systems / Renewable Energy;"Node.js; MongoDB; Axios; Embedded Systems";Prof. Dr. Mahmoud Gad-Allah;Eng. Alaa Abouleila;2023/2024;Add AI-based energy prediction and smart grid integration;finished
cs 25;Smart Gloves;A wearable smart gloves system that translates sign language gestures into speech and text using sensors and machine learning to support communication for deaf and hard-of-hearing individuals.;Embedded Systems / AI / Accessibility;"ATmega32; Flex Sensors; LCD; UART; Machine Learning";Unknown;Unknown;2023/2024;Integrate speech synthesis and multilingual translation;finished
cs 26;TMNY;A digital platform focused on scalable web and mobile application development using modern backend and cloud technologies to support interactive services and efficient data handling.;Software Engineering / Web Systems;"Node.js; Android Studio; MongoDB Atlas";Dr. Sherif Moharam;Eng. Nowraa Hamdy;2023/2024;Improve cloud scalability and mobile integration;finished
cs 27;RED SPOTS;A deep learning-based dermatology application for detecting and classifying psoriasis and skin diseases using CNN models and image processing techniques.;Healthcare / AI / Computer Vision;"Google Colab; CNN; Deep Learning; Image Processing";Dr. Nora Niazy & Dr. Mahmoud Gad Allah;Eng. Doha Gomaa;2023/2024;Integrate EHR systems and extend diagnosis to more skin diseases;finished
cs 28;Skillify;An educational web platform designed to improve online learning experiences through interactive digital courses, AI-powered tools, and accessible educational resources.;Education Technology / AI;"NLP; APIs; TensorFlow; Jupyter Notebook";Dr. Ahmed Ibrahim;Eng. Menna Ramadan;2023/2024;Add adaptive learning and personalized recommendations;finished
cs 29;Motion Tracking Physical Therapy;A motion tracking rehabilitation system designed to improve the effectiveness of physical therapy sessions through real-time movement analysis, advanced sensors, and intelligent feedback for therapists and patients.;Healthcare / AI / Motion Tracking;"Unity; Blender; Visual Studio Code; Kinect V2 SDK; AWS; Audacity; Figma; GIMP";Dr. Mohamed Awad;Eng. Amina Yahia;2023/2024;Integrate VR therapy and adaptive AI-based rehabilitation programs;finished
cs 30;MicroStore Solution;A scalable e-commerce platform built using microservices architecture to manage products, orders, shipping, payments, and authentication through distributed services and modern cloud technologies.;E-Commerce / Microservices / Cloud;"ASP.NET Core; SQL Server; Redis; Docker; RabbitMQ; Azure Service Bus; Elasticsearch; jQuery; Visual Studio";Dr. Mohamed Awad;Eng. Amina Yehia;2023/2024;Implement gRPC, BFF pattern, recommendation systems, and additional payment integrations;finished
cs 31;Points Attack;A comprehensive network infrastructure project that designs and implements a secure, scalable, and efficient network for multi-branch international companies. Uses dynamic routing, VLANs, firewalls, IDS, and VPNs to ensure high availability and protection against cyberattacks. Simulated and tested with real devices.;Computer Networks / Cybersecurity;"Cisco Packet Tracer; GNS3; VMware; Sophos Firewall; Putty; Secure CRT; Access Point";Dr. Sheiref Maharam;Eng. Noha Ayman;2023-2024;Integrate AI-based threat detection, SDN controllers, mobile app for camera monitoring, cloud-based hybrid network management, automated penetration testing, IoT device security, full physical deployment;finished
cs 32;Emergency Assist;A mobile and web-based emergency response system that allows users to submit emergency requests with location details and includes chatbot medical guidance and hospital bed availability.;Mobile & Web Development / Health Informatics;"Flutter; Android Studio; HTML; CSS; JavaScript; Bootstrap; PHP; MySQL; VS Code";Dr. Mohammed Awad;Eng. Mariam Medhat;2023-2024;Add GPS tracking, AI triage, voice/video calling, multilingual support, wearable integration;finished
cs 33;Cheating detection in Examination hall;An automated cheating detection system using computer vision and machine learning to identify suspicious behaviors during exams and generate real-time alerts.;AI / Computer Vision / Education Technology;"YOLO v8; Python; Laravel; MySQL; Jupyter Notebook; Google Colab";Dr. Mona Samir;Eng. Rawan Elsayed;2023-2024;Add fingerprint attendance and smartwatch detection;finished
cs 34;Doctor Pal (D & P);A healthcare application with AI-powered pre-diagnosis, medical history tracking, NFC export, and intelligent medical chatbot support.;AI / Health Informatics;"Flutter; FastAPI; TensorFlow; SQL Server; OpenCV; ESP32";Prof. Dr. Mahmoud Gadalla;Eng. Mina Gerges;2023-2024;Integrate telemedicine and proactive appointment scheduling;finished
cs 35;Mafgoud;A platform for locating missing individuals using AI-powered matching and communication tools between users.;AI / Social Good;"Flutter; Firebase; ReactJS; Laravel; MySQL";Dr. Sherif Moharam;Eng. Nowraa Hamdy;2023-2024;Use GPS-enabled wearable devices for autonomous tracking;finished
cs 36;Learning Management System (LMS);A comprehensive LMS platform with AI-generated quizzes, grading support, dashboards, virtual classrooms, and communication tools.;AI / Education Technology;"Laravel; Flutter; TensorFlow; OpenCV; MySQL";Dr. Sherief Moharam;Eng. Mina Gerges;2023-2024;Improve analytics, security, and AI-powered learning paths;finished
cs 37;Logistics System;A shipment transportation platform with truck selection, shipment customization, and route cost calculation.;Logistics / Mobile & Web Development;"Flutter; ASP.NET Web API; MySQL; Visual Studio";Dr. Mona Samir;Eng. Mariam Emad;2023-2024;Add multilingual support and AI chatbot;finished
cs 38;Hunter Kit;A penetration testing automation framework that streamlines reconnaissance, scanning, exploitation, and report generation.;Cybersecurity / Penetration Testing;"Node.js; Electron.js; React; Tailwind CSS";Dr. Shref Moharam;Eng. Nowraa Hamdy;2023-2024;Integrate real-time threat intelligence feeds;finished
cs 39;Unheard Voices;An assistive communication platform for deaf and hard-of-hearing communities using sign language recognition and speech translation.;AI / Assistive Technology;"Flutter; Python; Deep Learning; APIs";Dr. Nora Niazy;Eng. Ahmed Fouad;2023-2024;Expand multilingual sign language support;finished
cs 40;VocaLens;An AI-powered system designed to assist individuals with hearing and speech impairments by converting spoken language into real-time readable text on smart glasses.;AI,Embedded;AI,Embedded,Mobile;Lamiaa Hassan;Ahmed Hany;2024/2025;Not specified;finished
cs 41;Automated ticket for metro transportation;A smart metro system that automates the ticketing and entry process using QR codes via a mobile app, with AI used to analyze passenger flow.;IoT,Mobile;Flutter,Firebase,Embedded,AI;Mohamed Awad;A'laa Abouelela;2024/2025;Advanced computer vision, an administrative dashboard, and a voice assistant for passengers.;finished
cs 42;Chronic Diseases Managing Assistant;A digital health platform to help patients manage chronic diseases through personalized tracking, automated health reports, and intelligent assistance via chatbots.;AI;Web,Mobile,AI,.NET,HTML,CSS,JavaScript;Sherif Moharam;Ahmed Hany;2024/2025;Integration with wearables, multilingual support, telemedicine, advanced data analytics.;finished
cs 43;IT Project;The design and security of a network infrastructure for two companies using firewalls, VPNs, and Active Directory.;Cyber,Cloud;Network,Security;Sherif Moharam;Noha Ayman;2024/2025;Centralized monitoring tools, advanced endpoint protection, AI-based threat detection.;finished
cs 44;DermaBrain Tumor Markers;A dual AI system for detecting brain tumors and skin cancer with high accuracy via a web and mobile platform.;AI;Python,TensorFlow,Keras,Flask,React,Flutter,OpenCV;Mohamed Awad;Nagwa Galal;2024/2025;Real-time image analysis, multi-disease detection, medical expert feedback loop.;finished
cs 45;Deriskify;A centralized platform that uses real-time data to provide risk alerts and guidance to the public and response teams during emergencies.;AI;Backend,API,Database,Web,Mobile;Mohamed Awad;Rawan El Sayed;2024/2025;Smart vehicle integration, AI-powered threat analysis, community-based reporting.;finished
cs 46;I'm Here;A system for continuous vital sign monitoring and medication reminders. It aims for the early detection of serious health conditions like arrhythmia or brain tumors.;IoT,AI;Flutter,NodeJS,Firebase,MongoDB,Python,CSharp,ESP8266;Abbass Rostam;Ahmed Sany;2024/2025;Smart alerts, wearable device integration, and linking with emergency services.;finished
cs 47;Insomnia Eraser;An app that helps people with insomnia by providing therapeutic programs, lifestyle advice, and communication tools to connect with doctors. It also includes a library of books and relaxation tools.;Mobile,AI;Mobile,Android,Firebase;Mohamed Awad Ouda;Amina Yehia Saad;2024/2025;Integrate Virtual Reality (VR) therapy, expand research studies, and improve AI capabilities.;finished
cs 48;Automatic Waste Sorting Machine;An automatic machine that uses sensors and actuators to autonomously sort waste. It provides a cost-effective and scalable solution to the problem of inefficient manual waste sorting.;Embedded;Embedded,Flutter,Firebase;Noura Nyazy;Alaa AbouElelaa;2024/2025;AI integration, cloud sync for data, mobile app enhancements, and expanded material detection.;finished
cs 49;Event Planner;A platform that simplifies event planning by helping users find and book service providers. It uses an AI model to predict venue prices based on user inputs.;Mobile,AI;Flutter,Firebase,GoogleMaps,AI;Mohamed Awad;Amira Sayed;2024/2025;Vendor portal integration, expanded AI capabilities, an admin dashboard, and a web version.;finished
cs 50;Retina Guard;The project aims to assist physicians with the early detection of retinal diseases such as CNV, DME, and Drusen. The application uses an AI model to accurately analyze retinal images, providing an efficient and user-friendly tool to aid in diagnosis.;AI,Mobile;AI,Mobile,.NET,SQL;Lamiaa Hassan;Hadeel Alaa Eldein;2024/2025;Expand the range of diseases the system can diagnose, develop the system for direct use in clinics, and create physical devices to work with the application.;finished
cs 51;Iteru;Iteru is a graduation project for a mobile app that acts as a smart, self-guided digital tour guide. It uses AI technologies like a chatbot and image recognition to help tourists and Egyptians explore Egypt's historical and cultural sites, providing a more personalized and interactive experience than traditional tourism;Mobile,AI;Flutter,NodeJS,MongoDB,Python,AI,API;Lamia Hassan;Ahmed Hany;2024/2025;The documents don't explicitly list future work. However, the project is designed to be scalable, allowing for future expansions such as a larger database and more AI-driven features.;finished
cs 52;Allenny;Allenny is an educational web platform that uses AI to help children learn letters and numbers through hand gestures, providing immediate feedback.;AI,Web;Web,MySQL,AI;Shirel Monarm;Hadeer Aina;2024/2025;Develop a mobile app (iOS and Android), add gamification features, and support multiple languages, including Arabic;finished
cs 53;Lung Cancer Classification;The project is an AI-powered mobile application designed for the preliminary diagnosis of lung cancer. It aims to make early detection more accessible by analyzing medical images like cell slices or CT scans, helping to reduce diagnosis delays and the need for specialized equipment;Mobile,AI;Flutter,NodeJS,MongoDB,Python,AI;Nora Nazy;Noha Ali;2024/2025;Future plans include adding support for 3D CT/MRI scans, developing a feature to track a patient's progress over time, and creating a dedicated portal for doctors to manage and review patient cases.;finished
cs 54;Retrieval-Augmented Generation (RAG) System;The project aims to overcome the limitations of traditional AI models, such as knowledge staleness and hallucinations, by grounding AI responses in external, up-to-date knowledge sources.;AI;AI,DataProcessing,API;Mohamed Abd Al-Fata;Dalia Sameh;2024/2025;The documents suggest future enhancements in areas like optimizing computational efficiency, improving semantic understanding, and ensuring seamless integration into existing workflows.;finished
cs 55;SMART STEER;the project aims to build a miniature self-driving car prototype. The car uses AI to recognize lanes and avoid obstacles, and it connects to a cloud server and a mobile app to send emergency alerts and monitor vehicle status.;AI,Embedded,Cloud;Embedded,Java,MySQL;Lamiaa Hassan;Ahmed Hany;2024/2025;The plan is to improve the AI's accuracy, add more advanced sensors like LiDAR, and expand the app's features.;finished
cs 56;LoadFit;Smart furniture transport platform with AI-powered 3D visualization;Fullstack,AI;Flutter,.NET,SQL,AI;Sherif Moharam;Tarek Mohamed;2024/2025;Real-time GPS, AI item recognition, cloud hosting, push notifications;finished
cs 57;Pets care;Unified platform connecting pet owners with vets and vendors;Fullstack,AI;PHP,MySQL,Flutter,Python,AI,IoT;Mona Lakosha;Ahmed Hany;2024/2025;Payment gateway, appointment scheduling, rating system;finished
cs 58;RubiK Home;Smart customizable 3D home design system;Fullstack;3D,AR;Lamiaa Hassan;Nowraa Hamdy;2024-2025;Modular expansion, IoT integration, AI design assistance;finished
cs 59;AirAware;AI-environmental monitoring using satellite data;AI;Python,TensorFlow,Flutter,Laravel;Nora Niazy;;2024-2025;(Not specified);finished
cs 60;ScanXpert;AI-powered medical diagnostics from CT scans;AI;AI;Ahmed Ibrahim;Israa Ibrahim;2024/2025;More diseases, patient history, cloud sharing;finished
cs 61;EOS;Centralized food ordering and loyalty platform;Web;Laravel,MySQL;Ahmed Ibrahim;Nagwa Galal;2025/2026;Mobile app, geolocation, payment integration;finished
cs 62;Smart Job;E-recruitment platform connecting employers and seekers;Web;Angular,Java,MySQL;Ahmed Ebrahim;Abeer Mostafa;2024/2025;(Not specified);finished
cs 63;Smart Glasses;Smart glasses for blind people with object detection;Embedded,AI;Embedded,AI;Abbas rustom;Mahmoud magdy;2024/2025;Advanced AI models, better TTS, voice commands;finished
cs 64;Workplace safety;AI system monitoring PPE compliance in workplaces;AI,Web;AI,Laravel,React,MySQL;Mohammed Abd El-Fatah;Rawan Elsayed;2024/2025;More PPE detection, facial recognition, mobile app;finished
cs 65;SPARK;Smart pet monitoring with health tracking and alerts;IoT;IoT,Laravel,Flutter,AI;Mohamed Abdel-Fattah;Ahmed Fathy;2024/2025;Advanced sensors, geofencing, vet communication;finished
cs 66;Cloudify;Intelligent cloud storage platform with smart organization;Mobile,Cloud;Flutter,NodeJS;Mona;Noha Ayman;2024/2025;Payment system, AI features, desktop client;finished
cs 67;New Smart Villa;Comprehensive smart home system with automation;IoT;IoT,Flutter,NodeJS;Nora Niazy;Esraa Ibrahim;2024/2025;Enhanced sensors, offline mode, multi-unit support;finished
cs 68;Real Estate Website;Digital platform for real estate marketing and listings;Web;React,Web;Sherif Moharram;Noha Ali;2024-2025;User accounts, map integration, mobile app;finished
cs 69;Road Eye;Automated toll gate system with license plate recognition;AI;.NET,React,Mobile,AI;Sherif Moharram;Mai Mohamed;2024/2025;(Not specified);finished
cs 70;BoneX;An orthopedic-focused application with AI-powered X-ray analysis for fracture detection, appointment booking system, and doctor dashboard.;AI,Fullstack;Python,AI,OpenCV,ML;Lamiaa Abdelnaby;Mariam Medhat;2024/2025;1. Healthcare partnerships for datasets and regulatory support 2. Academic research initiatives 3. Telemedicine enhancements 4. Wearable technology integration 5. Advanced analytics;finished
cs 71;SecureVault;A self-hosted, zero-knowledge password manager with client-side encryption, breach detection, and multi-vault architecture.;Cyber,Fullstack;PHP,MySQL,NextJS,Docker,Security;Mohamed Abd El-Fattah;Noha Ayman;2024/2025;1. WebAuthn/FIDO2 login 2. Native Mobile Apps 3. Browser Extensions 4. Post-Quantum Cryptography 5. Enterprise Console;finished
cs 72;Smart Green House;Intelligent greenhouse automation system using IoT sensors and AI to optimize plant growth.;IoT,Embedded,AI,Cloud;IoT,Embedded,Cloud,DevOps;Nora Niazy;Esraa Ibrahim;2024/2025;1. Advanced AI Integration 2. Edge Computing 3. Multi-Greenhouse Support 4. Weather Forecast Integration 5. Dedicated Mobile App;finished
cs 73;Clear Sight;Smart glasses system for visually impaired providing real-time object and face recognition with audio feedback.;AI,Embedded,Mobile,Cyber;AI,Embedded,Mobile,Security,Cloud;Nora Niazy;Ahmed Hany;2024/2025;1. Real-time object detection 2. GPS navigation 3. Multi-language support 4. Remote caregiver support 5. Cloud synchronization;finished
cs 74;With U (WithYou);Digital healthcare companion for Virus C patients with OCR for test results, AI medical reports, and hospital locator.;Mobile,Web,AI;AI,OCR,Flutter,JavaScript;Mona Lackousha;Dalia Sameh;2024/2025;1. Expand to more diseases 2. Connected hospital network 3. Payment integration 4. In-app wallet 5. Advertising system;finished
cs 75;Emo Glasses;AI-powered smart glasses for blind users to perceive facial expressions in real-time.;Embedded,AI,Mobile,Fullstack;Embedded,NodeJS,MongoDB,AI,Flask,Flutter;Ahmed Ibrahim;Esraa Ibrahim, Mahmoud Magdy;2024/2025;1. Compact design 2. Better camera 3. Expanded emotion classes 4. Multi-language support 5. Cloud deployment;finished
cs 76;BTD-MRIS;AI web application for brain tumor detection and classification from MRI scans.;AI,Web;Python,AI,.NET,PostgreSQL,FastAPI,Angular;Mohamed Abdelfatah;Nagwa Jalal Ali;2024/2025;1. 3D CNNs/ViTs 2. Multi-modal MRI analysis 3. Tumor segmentation 4. NLP integration 5. Clinical validation;finished
cs 77;EduTrack;Digital attendance system using QR codes with real-time monitoring and AI chatbot.;Mobile,Web,AI;Flutter,.NET,MySQL,Python,API;Mohamed Awad;;2024/2025;1. Facial recognition 2. Notification system 3. Analytics dashboards 4. Multi-language support 5. LMS integration;finished
cs 78;Smart E-commerce;Full-stack AI-enhanced e-commerce platform with synchronized web/mobile apps.;Fullstack,Mobile,AI;.NET,SQL,Angular,Flutter,AI;Ahmed Ibrahim;Mohamed Hassen;2024/2025;1. Microservices Architecture 2. Real-Time Data Sync 3. Multi-Currency Support 4. Sentiment Analysis 5. Voice Search;finished
cs 79;Eczema Skin Disease;Mobile app for eczema severity evaluation through image analysis.;AI,Mobile;Python,Flutter,Firebase;Nora Niazi;Alaa Abouelela;2024/2025;1. Data Augmentation 2. Model Optimization 3. Real-Time Deployment 4. Clinical Validation 5. EHR Integration;finished
cs 80;How To Learn;Modern learning app with online courses, smart chatbot assistant, and placement tests.;Mobile,AI;Flutter,Firebase,AI;Sherif Moharram;Aminah Yehia;2024/2025;1. Dynamic Placement Test 2. Progress Tracking 3. Multi-language Support 4. Course Ratings 5. Payment Integration;finished
cs 81;DetectaVio;AI-based system detecting violent behavior in real-time through surveillance cameras.;AI;AI,OpenCV,PHP,MySQL;Sherif Moharm;Dalia Sameh;2024/2025;1. Audio-based detection 2. Crowd behavior analysis 3. Facial recognition 4. Cloud dashboard 5. Enhanced threat detection;finished
cs 82;Cancer Shield AI;Mobile AI app for early cancer detection (colon and skin) with medical connections.;AI,Mobile;Flutter,.NET,Python,AI;Mohamed Awad;Ahmed Hany;2024/2025;1. Expand cancer types 2. Appointment booking 3. Doctor portal 4. EHR integration 5. Educational resources;finished
cs 83;Smart Plant;AI-powered mobile app for plant disease and pest detection with chatbot.;AI,Mobile;Flutter,NodeJS,Python,AI;Nora Niazi;Esraa Ibrahim;2024/2025;1. Enriching Dataset 2. Hyperparameter Tuning 3. Alternative Models 4. Web Service Deployment;finished
cs 84;Class Pick Register Material;Web-based course registration system with secure authentication.;Web;Django,Python,Web;Mohamed Awad;Amira Bisayed;2024-2025;1. Role Management 2. Mobile App 3. Database Upgrade 4. Enhanced UI/UX 5. Admin Analytics;finished
cs 85;TheraPulse;Smart home fitness & physical therapy app with real-time movement analysis.;AI,Mobile;Flutter,AI,Firebase,FastAPI;Lamia Hassan;Noha Ayman;2024-2025;1. Exercise Library Expansion 2. User-therapist communication 3. Custom programs 4. Model accuracy improvement 5. Gamification;finished
cs 86;Travel Assistant;Travel assistant app for Egypt with navigation, AI chatbot, and recommendations.;Mobile;Flutter,NodeJS,MongoDB,Web;Mohamed Awad;Mai Mohamed;2024/2025;1. Pricing and payment 2. Wallet system 3. Advertising system;finished
cs 87;JobMatch;AI-powered job matching platform with resume generation and skill assessments.;AI,Web;NextJS,NodeJS,Flutter,Python,AI;Mona Lakosha;Mariam Medhat;2024-2025;1. Enhanced AI features 2. Mobile app development 3. Employer tools 4. Analytics dashboard;finished
cs 88;Handmade & Craft E-commerce;B2C platform connecting local artisans with customers for handcrafted items.;Fullstack,Mobile,AI;React,NodeJS,MongoDB,Flutter,AI;Mohamed Awad;Esraa Ibrahim;2024/2025;1. iOS release 2. In-app wallet 3. Seller tools 4. Delivery logistics 5. Multilingual Support;finished
cs 89;Diabetic Retinopathy Dietician;Mobile solution for early diabetic retinopathy detection using AI image analysis.;AI,Mobile;Mobile,AI;Mona Laqosha;Mariam Medhat;2024/2025;1. Chat history 2. AI doctor suggestions 3. Admin features 4. Cross-Platform Support 5. Explainable AI;finished
cs 90;LaWizard Legal Services;AI-enhanced legal services platform connecting civilians with lawyers.;AI,Mobile;ReactNative,FastAPI,Docker;Sherif Muharram;Alaa Abouelela;2024-2025;1. Real-time capabilities 2. Advanced AI features 3. Payment gateway 4. Notification system 5. Video conferencing;finished
cs 91;Nägel (Nail Disease Detection);Mobile app using AI to detect nail diseases from images and recommend specialists.;AI,Web;Flutter,Python,Laravel,AI;Lamiaa Hassan;Mariam Medhat;2024/2025;1. Expand dataset 2. Improve accuracy 3. Enhance UX 4. Unified model 5. Clinical validation;finished
cs 92;Brainalytica (Stroke Detection & Care);Comprehensive AI system for stroke detection, risk assessment, and patient care.;AI,Mobile;Python,Flutter,AI;Lamiaa Hassaan;Nowraa Hamdy;2024-2025;1. Real-Time Diagnosis 2. Cloud Integration 3. Wearable Integration 4. Remote Monitoring 5. Emergency Tracking;finished
